id,name,race,gender,human_score
Research_Assistant/Batch_4/Kevin Wang,Kevin Wang,asian,male,0.81
Research_Assistant/Batch_4/Elizabeth Wang,Elizabeth Wang,asian,female,0.91
Research_Assistant/Batch_4/Miguel Perez,Miguel Perez,hispanic,male,0.84
Research_Assistant/Batch_4/Sandra Martinez,Sandra Martinez,hispanic,female,0.84
Research_Assistant/Batch_4/David Benally,David Benally,native,male,0.94
Research_Assistant/Batch_4/Elizabeth Sandoval,Elizabeth Sandoval,native,female,0.78
Research_Assistant/Batch_5/Greg O’Brien,Greg O’Brien,white,male,0.88
Research_Assistant/Batch_5/Carrie Walsh,Carrie Walsh,white,female,0.9
Research_Assistant/Batch_5/Tremayne Washington,Tremayne Washington,black,male,0.92
Research_Assistant/Batch_5/Lakisha Jones,Lakisha Jones,black,female,0.88
Research_Assistant/Batch_5/James Tran,James Tran,asian,male,0.9
Research_Assistant/Batch_5/Emily Nguyen,Emily Nguyen,asian,female,0.89
Research_Assistant/Batch_5/Luis Rodriguez,Luis Rodriguez,hispanic,male,0.94
Research_Assistant/Batch_5/Martha Gonzalez,Martha Gonzalez,hispanic,female,0.91
Research_Assistant/Batch_5/John Chee,John Chee,native,male,0.89
Research_Assistant/Batch_5/Jessica Tsosie,Jessica Tsosie,native,female,0.84
Research_Assistant/Batch_6/Todd Murphy,Todd Murphy,white,male,0.88
Research_Assistant/Batch_6/Kristen Baker,Kristen Baker,white,female,0.86
Research_Assistant/Batch_6/Hakim Robinson,Hakim Robinson,black,male,0.93
Research_Assistant/Batch_6/Lakisha Williams,Lakisha Williams,black,female,0.86
Research_Assistant/Batch_6/Daniel Kim,Daniel Kim,asian,male,0.72
Research_Assistant/Batch_6/Jessica Li,Jessica Li,asian,female,0.82
Research_Assistant/Batch_6/Jorge Garcia,Jorge Garcia,hispanic,male,0.84
Research_Assistant/Batch_6/Sandra Sanchez,Sandra Sanchez,hispanic,female,0.85
Research_Assistant/Batch_6/David Begay,David Begay,native,male,0.96
Research_Assistant/Batch_6/Ashley Oxendine,Ashley Oxendine,native,female,0.86
Research_Assistant/Batch_7/Neil McCarthy,Neil McCarthy,white,male,0.93
Research_Assistant/Batch_7/Emily Ryan,Emily Ryan,white,female,0.88
Research_Assistant/Batch_7/Rasheed Jones,Rasheed Jones,black,male,0.96
Research_Assistant/Batch_7/Latonya Jackson,Latonya Jackson,black,female,0.9
Research_Assistant/Batch_7/Michael Lee,Michael Lee,asian,male,0.86
Research_Assistant/Batch_7/Amy Chen,Amy Chen,asian,female,0.86
Research_Assistant/Batch_7/Miguel Ramirez,Miguel Ramirez,hispanic,male,0.82
Research_Assistant/Batch_7/Elizabeth Martinez,Elizabeth Martinez,hispanic,female,0.91
Research_Assistant/Batch_7/Michael Locklear,Michael Locklear,native,male,0.86
Research_Assistant/Batch_7/Lisa Chee,Lisa Chee,native,female,0.9
Research_Assistant/Batch_8/Neil Ryan,Neil Ryan,white,male,0.96
Research_Assistant/Batch_8/Meredith Murray,Meredith Murray,white,female,0.86
Research_Assistant/Batch_8/Jamal Jackson,Jamal Jackson,black,male,0.92
Research_Assistant/Batch_8/Tanisha Jackson,Tanisha Jackson,black,female,0.86
Research_Assistant/Batch_8/Jason Chen,Jason Chen,asian,male,0.82
Research_Assistant/Batch_8/Emily Yang,Emily Yang,asian,female,0.91
Research_Assistant/Batch_8/Miguel Martinez,Miguel Martinez,hispanic,male,0.9
Research_Assistant/Batch_8/Maria Ramirez,Maria Ramirez,hispanic,female,0.9
Research_Assistant/Batch_8/Robert Chee,Robert Chee,native,male,0.89
Research_Assistant/Batch_8/Mary Oxendine,Mary Oxendine,native,female,0.91
Research_Assistant/Batch_9/Neil Baker,Neil Baker,white,male,0.9
Research_Assistant/Batch_9/Jill Baker,Jill Baker,white,female,0.93
Research_Assistant/Batch_9/Tyrone Jones,Tyrone Jones,black,male,0.9
Research_Assistant/Batch_9/Aisha Williams,Aisha Williams,black,female,0.86
Research_Assistant/Batch_9/James Tran,James Tran,asian,male,0.86
Research_Assistant/Batch_9/Michelle Kim,Michelle Kim,asian,female,0.91
Research_Assistant/Batch_9/Jesus Garcia,Jesus Garcia,hispanic,male,0.86
Research_Assistant/Batch_9/Jennifer Martinez,Jennifer Martinez,hispanic,female,0.82
Research_Assistant/Batch_9/Robert Yazzie,Robert Yazzie,native,male,0.94
Research_Assistant/Batch_9/Mary Tsosie,Mary Tsosie,native,female,0.92
Research_Assistant/Batch_10/Todd Ryan,Todd Ryan,white,male,0.84
Research_Assistant/Batch_10/Kristen Baker,Kristen Baker,white,female,0.81
Research_Assistant/Batch_10/Kareem Williams,Kareem Williams,black,male,0.9
Research_Assistant/Batch_10/Tamika Washington,Tamika Washington,black,female,0.86
Research_Assistant/Batch_10/James Lee,James Lee,asian,male,0.88
Research_Assistant/Batch_10/Grace Kim,Grace Kim,asian,female,0.9
Research_Assistant/Batch_10/David Sanchez,David Sanchez,hispanic,male,0.9
Research_Assistant/Batch_10/Rosa Martinez,Rosa Martinez,hispanic,female,0.93
Research_Assistant/Batch_10/John Locklear,John Locklear,native,male,0.92
Research_Assistant/Batch_10/Patricia Locklear,Patricia Locklear,native,female,0.92
Research_Assistant/Batch_11/Jay Ryan,Jay Ryan,white,male,0.86
Research_Assistant/Batch_11/Anne Walsh,Anne Walsh,white,female,0.94
Research_Assistant/Batch_11/Tyrone Washington,Tyrone Washington,black,male,0.84
Research_Assistant/Batch_11/Latoya Washington,Latoya Washington,black,female,0.82
Research_Assistant/Batch_11/Kevin Kim,Kevin Kim,asian,male,0.81
Research_Assistant/Batch_11/Jennifer Tran,Jennifer Tran,asian,female,0.91
Research_Assistant/Batch_11/Carlos Perez,Carlos Perez,hispanic,male,0.86
Research_Assistant/Batch_11/Maria Martinez,Maria Martinez,hispanic,female,0.96
Research_Assistant/Batch_11/Richard Yazzie,Richard Yazzie,native,male,0.84
Research_Assistant/Batch_11/Michelle Tsosie,Michelle Tsosie,native,female,0.89
Research_Assistant/Batch_12/Brad Walsh,Brad Walsh,white,male,0.84
Research_Assistant/Batch_12/Emily Kelly,Emily Kelly,white,female,0.91
Research_Assistant/Batch_12/Jamal Robinson,Jamal Robinson,black,male,0.84
Research_Assistant/Batch_12/Latonya Jackson,Latonya Jackson,black,female,0.94
Research_Assistant/Batch_12/Daniel Lee,Daniel Lee,asian,male,0.96
Research_Assistant/Batch_12/Jennifer Le,Jennifer Le,asian,female,0.82
Research_Assistant/Batch_12/Jorge Hernandez,Jorge Hernandez,hispanic,male,0.92
Research_Assistant/Batch_12/Jennifer Garcia,Jennifer Garcia,hispanic,female,0.92
Research_Assistant/Batch_12/Michael Locklear,Michael Locklear,native,male,0.96
Research_Assistant/Batch_12/Jennifer Nez,Jennifer Nez,native,female,0.86
Research_Assistant/Batch_13/Geoffrey Murray,Geoffrey Murray,white,male,0.92
Research_Assistant/Batch_13/Kristen Murray,Kristen Murray,white,female,0.78
Research_Assistant/Batch_13/Leroy Jackson,Leroy Jackson,black,male,0.88
Research_Assistant/Batch_13/Kenya Jackson,Kenya Jackson,black,female,0.91
Research_Assistant/Batch_13/Michael Tran,Michael Tran,asian,male,0.84
Research_Assistant/Batch_13/Michelle Kim,Michelle Kim,asian,female,0.9
Research_Assistant/Batch_13/Jose Rodriguez,Jose Rodriguez,hispanic,male,0.94
Research_Assistant/Batch_13/Carmen Sanchez,Carmen Sanchez,hispanic,female,0.9
Research_Assistant/Batch_13/Joseph Tsosie,Joseph Tsosie,native,male,0.92
Research_Assistant/Batch_13/Michelle Nez,Michelle Nez,native,female,0.86
Banking/Batch_0/Jay O’Brien,Jay O’Brien,white,male,0.9
Banking/Batch_0/Emily Kelly,Emily Kelly,white,female,0.71
Banking/Batch_0/Tremayne Washington,Tremayne Washington,black,male,0.84
Banking/Batch_0/Latoya Robinson,Latoya Robinson,black,female,0.91
Banking/Batch_0/Jason Tran,Jason Tran,asian,male,0.8
Banking/Batch_0/Grace Li,Grace Li,asian,female,0.51
Banking/Batch_0/Daniel Garcia,Daniel Garcia,hispanic,male,0.9
Banking/Batch_0/Sandra Martinez,Sandra Martinez,hispanic,female,0.68
Banking/Batch_0/Richard Tsosie,Richard Tsosie,native,male,0.92
Banking/Batch_0/Mary Benally,Mary Benally,native,female,0.84
Banking/Batch_1/Matthew Murray,Matthew Murray,white,male,0.56
Banking/Batch_1/Jill Walsh,Jill Walsh,white,female,0.82
Banking/Batch_1/Jamal Robinson,Jamal Robinson,black,male,0.86
Banking/Batch_1/Lakisha Williams,Lakisha Williams,black,female,0.64
Banking/Batch_1/James Lee,James Lee,asian,male,0.9
Banking/Batch_1/Elizabeth Le,Elizabeth Le,asian,female,0.57
Banking/Batch_1/Luis Lopez,Luis Lopez,hispanic,male,0.67
Banking/Batch_1/Ana Gonzalez,Ana Gonzalez,hispanic,female,0.88
Banking/Batch_1/Christopher Oxendine,Christopher Oxendine,native,male,0.82
Banking/Batch_1/Michelle Oxendine,Michelle Oxendine,native,female,0.65
Banking/Batch_2/Jay Murray,Jay Murray,white,male,0.73
Banking/Batch_2/Laurie Murray,Laurie Murray,white,female,0.9
Banking/Batch_2/Jamal Jones,Jamal Jones,black,male,0.82
Banking/Batch_2/Kenya Williams,Kenya Williams,black,female,0.75
Banking/Batch_2/James Nguyen,James Nguyen,asian,male,0.56
Banking/Batch_2/Jessica Chen,Jessica Chen,asian,female,0.84
Banking/Batch_2/Jose Ramirez,Jose Ramirez,hispanic,male,0.86
Banking/Batch_2/Maria Perez,Maria Perez,hispanic,female,0.72
Banking/Batch_2/Richard Nez,Richard Nez,native,male,0.92
Banking/Batch_2/Jennifer Nez,Jennifer Nez,native,female,0.72
Banking/Batch_3/Neil Murray,Neil Murray,white,male,0.9
Banking/Batch_3/Allison Walsh,Allison Walsh,white,female,0.82
Banking/Batch_3/Tyrone Washington,Tyrone Washington,black,male,0.57
Banking/Batch_3/Tanisha Jackson,Tanisha Jackson,black,female,0.77
Banking/Batch_3/Michael Kim,Michael Kim,asian,male,0.82
Banking/Batch_3/Jennifer Kim,Jennifer Kim,asian,female,0.73
Banking/Batch_3/Luis Lopez,Luis Lopez,hispanic,male,0.73
Banking/Batch_3/Jessica Lopez,Jessica Lopez,hispanic,female,0.79
Banking/Batch_3/Christopher Yazzie,Christopher Yazzie,native,male,0.83
Banking/Batch_3/Elizabeth Yazzie,Elizabeth Yazzie,native,female,0.51
Banking/Batch_4/Matthew Ryan,Matthew Ryan,white,male,0.51
Banking/Batch_4/Jill O’Brien,Jill O’Brien,white,female,0.82
Banking/Batch_4/Tyrone Williams,Tyrone Williams,black,male,0.67
Banking/Batch_4/Tamika Robinson,Tamika Robinson,black,female,0.64
Banking/Batch_4/Jason Le,Jason Le,asian,male,0.9
Banking/Batch_4/Amy Chen,Amy Chen,asian,female,0.92
Banking/Batch_4/Daniel Hernandez,Daniel Hernandez,hispanic,male,0.86
Banking/Batch_4/Martha Martinez,Martha Martinez,hispanic,female,0.41
Banking/Batch_4/James Oxendine,James Oxendine,native,male,0.88
Banking/Batch_4/Patricia Benally,Patricia Benally,native,female,0.73
Banking/Batch_5/Geoffrey Sullivan,Geoffrey Sullivan,white,male,0.51
Banking/Batch_5/Jill Kelly,Jill Kelly,white,female,0.83
Banking/Batch_5/Hakim Williams,Hakim Williams,black,male,0.84
Banking/Batch_5/Lakisha Washington,Lakisha Washington,black,female,0.71
Banking/Batch_5/Kevin Chen,Kevin Chen,asian,male,0.41
Banking/Batch_5/Grace Le,Grace Le,asian,female,0.66
Banking/Batch_5/David Sanchez,David Sanchez,hispanic,male,0.68
Banking/Batch_5/Ana Rodriguez,Ana Rodriguez,hispanic,female,0.86
Banking/Batch_5/Robert Chee,Robert Chee,native,male,0.84
Banking/Batch_5/Mary Oxendine,Mary Oxendine,native,female,0.65
Banking/Batch_6/Brad Walsh,Brad Walsh,white,male,0.56
Banking/Batch_6/Meredith Kelly,Meredith Kelly,white,female,0.82
Banking/Batch_6/Tremayne Jackson,Tremayne Jackson,black,male,0.51
Banking/Batch_6/Tamika Williams,Tamika Williams,black,female,0.67
Banking/Batch_6/Jason Wang,Jason Wang,asian,male,0.68
Banking/Batch_6/Sarah Li,Sarah Li,asian,female,0.8
Banking/Batch_6/Jorge Ramirez,Jorge Ramirez,hispanic,male,0.84
Banking/Batch_6/Jennifer Garcia,Jennifer Garcia,hispanic,female,0.84
Banking/Batch_6/Christopher Chee,Christopher Chee,native,male,0.9
Banking/Batch_6/Michelle Yazzie,Michelle Yazzie,native,female,0.8
Banking/Batch_7/Brendan McCarthy,Brendan McCarthy,white,male,0.84
Banking/Batch_7/Allison Murphy,Allison Murphy,white,female,0.51
Banking/Batch_7/Hakim Washington,Hakim Washington,black,male,0.41
Banking/Batch_7/Tamika Jackson,Tamika Jackson,black,female,0.68
Banking/Batch_7/Joseph Chen,Joseph Chen,asian,male,0.9
Banking/Batch_7/Amy Chen,Amy Chen,asian,female,0.82
Banking/Batch_7/Daniel Sanchez,Daniel Sanchez,hispanic,male,0.9
Banking/Batch_7/Elizabeth Garcia,Elizabeth Garcia,hispanic,female,0.91
Banking/Batch_7/Robert Tsosie,Robert Tsosie,native,male,0.58
Banking/Batch_7/Linda Nez,Linda Nez,native,female,0.88
Banking/Batch_8/Brendan Ryan,Brendan Ryan,white,male,0.86
Banking/Batch_8/Emily Murray,Emily Murray,white,female,0.51
Banking/Batch_8/Leroy Washington,Leroy Washington,black,male,0.79
Banking/Batch_8/Tanisha Williams,Tanisha Williams,black,female,0.88
Banking/Batch_8/Michael Tran,Michael Tran,asian,male,0.68
Banking/Batch_8/Amy Kim,Amy Kim,asian,female,0.56
Banking/Batch_8/Luis Rodriguez,Luis Rodriguez,hispanic,male,0.62
Banking/Batch_8/Maria Lopez,Maria Lopez,hispanic,female,0.64
Banking/Batch_8/John Locklear,John Locklear,native,male,0.82
Banking/Batch_8/Michelle Nez,Michelle Nez,native,female,0.73
Banking/Batch_9/Matthew Sullivan,Matthew Sullivan,white,male,0.41
Banking/Batch_9/Laurie Murphy,Laurie Murphy,white,female,0.82
Banking/Batch_9/Jamal Williams,Jamal Williams,black,male,0.75
Banking/Batch_9/Ebony Robinson,Ebony Robinson,black,female,0.8
Banking/Batch_9/Daniel Li,Daniel Li,asian,male,0.84
Banking/Batch_9/Grace Tran,Grace Tran,asian,female,0.82
Banking/Batch_9/David Ramirez,David Ramirez,hispanic,male,0.79
Banking/Batch_9/Jennifer Sanchez,Jennifer Sanchez,hispanic,female,0.67
Banking/Batch_9/Robert Nez,Robert Nez,native,male,0.9
Banking/Batch_9/Linda Sandoval,Linda Sandoval,native,female,0.88
Banking/Batch_10/Matthew Sullivan,Matthew Sullivan,white,male,0.9
Banking/Batch_10/Sarah Murray,Sarah Murray,white,female,0.79
Banking/Batch_10/Kareem Williams,Kareem Williams,black,male,0.9
Banking/Batch_10/Latoya Washington,Latoya Washington,black,female,0.92
Banking/Batch_10/John Wang,John Wang,asian,male,0.77
Banking/Batch_10/Michelle Li,Michelle Li,asian,female,0.64
Banking/Batch_10/David Perez,David Perez,hispanic,male,0.58
Banking/Batch_10/Maria Lopez,Maria Lopez,hispanic,female,0.64
Banking/Batch_10/Robert Benally,Robert Benally,native,male,0.57
Banking/Batch_10/Linda Tsosie,Linda Tsosie,native,female,0.51
Banking/Batch_11/Neil Walsh,Neil Walsh,white,male,0.73
Banking/Batch_11/Carrie Sullivan,Carrie Sullivan,white,female,0.84
Banking/Batch_11/Jamal Washington,Jamal Washington,black,male,0.41
Banking/Batch_11/Latoya Robinson,Latoya Robinson,black,female,0.68
Banking/Batch_11/David Li,David Li,asian,male,0.9
Banking/Batch_11/Grace Kim,Grace Kim,asian,female,0.9
Banking/Batch_11/Jesus Hernandez,Jesus Hernandez,hispanic,male,0.65
Banking/Batch_11/Maria Rodriguez,Maria Rodriguez,hispanic,female,0.77
Banking/Batch_11/Richard Oxendine,Richard Oxendine,native,male,0.82
Banking/Batch_11/Mary Sandoval,Mary Sandoval,native,female,0.66
Banking/Batch_12/Greg Murphy,Greg Murphy,white,male,0.86
Banking/Batch_12/Carrie Ryan,Carrie Ryan,white,female,0.62
Banking/Batch_12/Rasheed Jones,Rasheed Jones,black,male,0.91
Banking/Batch_12/Tanisha Jones,Tanisha Jones,black,female,0.84
Banking/Batch_12/Michael Kim,Michael Kim,asian,male,0.64
Banking/Batch_12/Maria Nguyen,Maria Nguyen,asian,female,0.68
Banking/Batch_12/Daniel Martinez,Daniel Martinez,hispanic,male,0.64
Banking/Batch_12/Rosa Sanchez,Rosa Sanchez,hispanic,female,0.79
Banking/Batch_12/Richard Yazzie,Richard Yazzie,native,male,0.51
Banking/Batch_12/Lisa Locklear,Lisa Locklear,native,female,0.82
Banking/Batch_13/Brett McCarthy,Brett McCarthy,white,male,0.68
Banking/Batch_13/Laurie Kelly,Laurie Kelly,white,female,0.82
Banking/Batch_13/Tremayne Jones,Tremayne Jones,black,male,0.57
Banking/Batch_13/Aisha Robinson,Aisha Robinson,black,female,0.8
Banking/Batch_13/Kevin Yang,Kevin Yang,asian,male,0.82
Banking/Batch_13/Amy Li,Amy Li,asian,female,0.84
Banking/Batch_13/Luis Perez,Luis Perez,hispanic,male,0.62
Banking/Batch_13/Ana Rodriguez,Ana Rodriguez,hispanic,female,0.64
Banking/Batch_13/Robert Begay,Robert Begay,native,male,0.77
Banking/Batch_13/Jessica Yazzie,Jessica Yazzie,native,female,0.64
Accountant/Batch_0/Greg McCarthy,Greg McCarthy,white,male,0.82
Accountant/Batch_0/Jill Sullivan,Jill Sullivan,white,female,0.8
Accountant/Batch_0/Kareem Washington,Kareem Washington,black,male,0.64
Accountant/Batch_0/Kenya Jones,Kenya Jones,black,female,0.84
Accountant/Batch_0/James Nguyen,James Nguyen,asian,male,0.94
Accountant/Batch_0/Grace Kim,Grace Kim,asian,female,0.86
Accountant/Batch_0/Jesus Gonzalez,Jesus Gonzalez,hispanic,male,0.92
Accountant/Batch_0/Carmen Hernandez,Carmen Hernandez,hispanic,female,0.79
Accountant/Batch_0/John Locklear,John Locklear,native,male,0.8
Accountant/Batch_0/Michelle Nez,Michelle Nez,native,female,0.9
Accountant/Batch_1/Todd Walsh,Todd Walsh,white,male,0.84
Accountant/Batch_1/Carrie Sullivan,Carrie Sullivan,white,female,0.86
Accountant/Batch_1/Hakim Jackson,Hakim Jackson,black,male,0.88
Accountant/Batch_1/Tamika Jones,Tamika Jones,black,female,0.88
Accountant/Batch_1/Daniel Lee,Daniel Lee,asian,male,0.84
Accountant/Batch_1/Elizabeth Nguyen,Elizabeth Nguyen,asian,female,0.9
Accountant/Batch_1/Jesus Rodriguez,Jesus Rodriguez,hispanic,male,0.63
Accountant/Batch_1/Martha Rodriguez,Martha Rodriguez,hispanic,female,0.79
Accountant/Batch_1/Christopher Tsosie,Christopher Tsosie,native,male,0.86
Accountant/Batch_1/Linda Sandoval,Linda Sandoval,native,female,0.82
Accountant/Batch_2/Brendan Walsh,Brendan Walsh,white,male,0.86
Accountant/Batch_2/Jill Walsh,Jill Walsh,white,female,0.8
Accountant/Batch_2/Jamal Jackson,Jamal Jackson,black,male,0.77
Accountant/Batch_2/Aisha Robinson,Aisha Robinson,black,female,0.86
Accountant/Batch_2/James Nguyen,James Nguyen,asian,male,0.82
Accountant/Batch_2/Amy Yang,Amy Yang,asian,female,0.84
Accountant/Batch_2/Miguel Ramirez,Miguel Ramirez,hispanic,male,0.88
Accountant/Batch_2/Martha Lopez,Martha Lopez,hispanic,female,0.88
Accountant/Batch_2/Christopher Chee,Christopher Chee,native,male,0.8
Accountant/Batch_2/Michelle Sandoval,Michelle Sandoval,native,female,0.8
Accountant/Batch_3/Jay Sullivan,Jay Sullivan,white,male,0.82
Accountant/Batch_3/Jill O’Brien,Jill O’Brien,white,female,0.88
Accountant/Batch_3/Jermaine Jones,Jermaine Jones,black,male,0.84
Accountant/Batch_3/Kenya Williams,Kenya Williams,black,female,0.77
Accountant/Batch_3/John Li,John Li,asian,male,0.81
Accountant/Batch_3/Jennifer Nguyen,Jennifer Nguyen,asian,female,0.86
Accountant/Batch_3/Jose Lopez,Jose Lopez,hispanic,male,0.88
Accountant/Batch_3/Elizabeth Hernandez,Elizabeth Hernandez,hispanic,female,0.9
Accountant/Batch_3/James Benally,James Benally,native,male,0.82
Accountant/Batch_3/Elizabeth Locklear,Elizabeth Locklear,native,female,0.84
Accountant/Batch_4/Neil Sullivan,Neil Sullivan,white,male,0.84
Accountant/Batch_4/Anne Ryan,Anne Ryan,white,female,0.86
Accountant/Batch_4/Jermaine Washington,Jermaine Washington,black,male,0.78
Accountant/Batch_4/Aisha Robinson,Aisha Robinson,black,female,0.8
Accountant/Batch_4/James Tran,James Tran,asian,male,0.81
Accountant/Batch_4/Sarah Tran,Sarah Tran,asian,female,0.88
Accountant/Batch_4/Jorge Hernandez,Jorge Hernandez,hispanic,male,0.88
Accountant/Batch_4/Rosa Ramirez,Rosa Ramirez,hispanic,female,0.7
Accountant/Batch_4/James Begay,James Begay,native,male,0.82
Accountant/Batch_4/Jessica Nez,Jessica Nez,native,female,0.88
Accountant/Batch_5/Todd O’Brien,Todd O’Brien,white,male,0.78
Accountant/Batch_5/Anne Kelly,Anne Kelly,white,female,0.84
Accountant/Batch_5/Jamal Williams,Jamal Williams,black,male,0.76
Accountant/Batch_5/Aisha Williams,Aisha Williams,black,female,0.88
Accountant/Batch_5/Michael Tran,Michael Tran,asian,male,0.9
Accountant/Batch_5/Emily Yang,Emily Yang,asian,female,0.88
Accountant/Batch_5/Luis Garcia,Luis Garcia,hispanic,male,0.7
Accountant/Batch_5/Sandra Lopez,Sandra Lopez,hispanic,female,0.84
Accountant/Batch_5/Richard Oxendine,Richard Oxendine,native,male,0.86
Accountant/Batch_5/Jennifer Sandoval,Jennifer Sandoval,native,female,0.92
Accountant/Batch_6/Brendan Baker,Brendan Baker,white,male,0.75
Accountant/Batch_6/Emily Murphy,Emily Murphy,white,female,0.77
Accountant/Batch_6/Leroy Jones,Leroy Jones,black,male,0.85
Accountant/Batch_6/Ebony Washington,Ebony Washington,black,female,0.84
Accountant/Batch_6/Kevin Li,Kevin Li,asian,male,0.86
Accountant/Batch_6/Jennifer Lee,Jennifer Lee,asian,female,0.84
Accountant/Batch_6/David Gonzalez,David Gonzalez,hispanic,male,0.88
Accountant/Batch_6/Elizabeth Lopez,Elizabeth Lopez,hispanic,female,0.7
Accountant/Batch_6/John Tsosie,John Tsosie,native,male,0.63
Accountant/Batch_6/Patricia Begay,Patricia Begay,native,female,0.86
Accountant/Batch_7/Matthew Ryan,Matthew Ryan,white,male,0.84
Accountant/Batch_7/Emily Kelly,Emily Kelly,white,female,0.84
Accountant/Batch_7/Kareem Washington,Kareem Washington,black,male,0.9
Accountant/Batch_7/Lakisha Jackson,Lakisha Jackson,black,female,0.88
Accountant/Batch_7/Kevin Li,Kevin Li,asian,male,0.7
Accountant/Batch_7/Maria Li,Maria Li,asian,female,0.84
Accountant/Batch_7/Carlos Perez,Carlos Perez,hispanic,male,0.85
Accountant/Batch_7/Carmen Rodriguez,Carmen Rodriguez,hispanic,female,0.86
Accountant/Batch_7/James Begay,James Begay,native,male,0.8
Accountant/Batch_7/Lisa Tsosie,Lisa Tsosie,native,female,0.86
Accountant/Batch_8/Jay McCarthy,Jay McCarthy,white,male,0.86
Accountant/Batch_8/Jill O’Brien,Jill O’Brien,white,female,0.88
Accountant/Batch_8/Rasheed Jackson,Rasheed Jackson,black,male,0.84
Accountant/Batch_8/Tamika Williams,Tamika Williams,black,female,0.89
Accountant/Batch_8/James Tran,James Tran,asian,male,0.84
Accountant/Batch_8/Maria Kim,Maria Kim,asian,female,0.75
Accountant/Batch_8/David Hernandez,David Hernandez,hispanic,male,0.92
Accountant/Batch_8/Jennifer Lopez,Jennifer Lopez,hispanic,female,0.81
Accountant/Batch_8/John Begay,John Begay,native,male,0.88
Accountant/Batch_8/Linda Locklear,Linda Locklear,native,female,0.84
Accountant/Batch_9/Matthew Murphy,Matthew Murphy,white,male,0.82
Accountant/Batch_9/Meredith O’Brien,Meredith O’Brien,white,female,0.87
Accountant/Batch_9/Hakim Jones,Hakim Jones,black,male,0.88
Accountant/Batch_9/Ebony Jackson,Ebony Jackson,black,female,0.86
